City,State,Population
Corvallis city, Oregon,61087
Springfield city, Oregon,61085
Wylie city, Texas,61078
La Habra city, California,60991
Dearborn Heights city, Michigan,60872
Madison city, Alabama,60854
Encinitas city, California,60841
Vineland city, New Jersey,60797
Stonecrest city, Georgia,60677
Blue Springs city, Missouri,60539
La Mesa city, California,60537
Great Falls city, Montana,60422
Taunton city, Massachusetts,60412
Owensboro city, Kentucky,60140
Meriden city, Connecticut,60111
Herriman city, Utah,60049
Burlington city, North Carolina,60032
Montebello city, California,60015
Hanford city, California,59938
Kokomo city, Indiana,59890
Euless city, Texas,59686
San Rafael city, California,59555
Santee city, California,59478
Bentonville city, Arkansas,59471
St. Peters city, Missouri,59413
Kannapolis city, North Carolina,59321
Lake Havasu City city, Arizona,59257
Pico Rivera city, California,59189
Weymouth Town city, Massachusetts,59114
Apopka city, Florida,59113
Youngstown city, Ohio,59108
North Miami city, Florida,59008
Grand Forks city, North Dakota,58921
Dubuque city, Iowa,58877
West Allis city, Wisconsin,58874
Petaluma city, California,58800
Medford city, Massachusetts,58744
Casper city, Wyoming,58720
Margate city, Florida,58593
Lenexa city, Kansas,58536
Terre Haute city, Indiana,58502
Little Elm city, Texas,58496
Beaumont city, California,58463
Marana town, Arizona,58430
Gardena city, California,58377
Lacey city, Washington,58326
Decatur city, Alabama,58321
Gilroy city, California,58250
Hempstead village, New York,58225
Midwest City city, Oklahoma,58086
Springfield city, Ohio,58082
Pocatello city, Idaho,58064
Carson City, Nevada,58036
Des Plaines city, Illinois,58010
Revere city, Massachusetts,57954
Brookhaven city, Georgia,57945
Monterey Park city, California,57877
Westfield city, Indiana,57746
Coconut Creek city, Florida,57694
Spring Hill city, Tennessee,57637
Sarasota city, Florida,57602
St. Clair Shores city, Michigan,57548
Royal Oak city, Michigan,57452
Smyrna town, Tennessee,57418
Bozeman city, Montana,57305
Cupertino city, California,57285
Bowie city, Maryland,57254
Lancaster city, Pennsylvania,57153
Winter Haven city, Florida,57109
Taylorsville city, Utah,57098
Bradenton city, Florida,57076
Orland Park village, Illinois,57074
Albany city, Oregon,57053
Hoboken city, New Jersey,57010
Eagle Mountain city, Utah,56932
Coeur d'Alene city, Idaho,56894
Kettering city, Ohio,56876
Southaven city, Mississippi,56851
Kingsport city, Tennessee,56704
Texas City city, Texas,56609
Smyrna city, Georgia,56566
Bonita Springs city, Florida,56229
Highland city, California,56202
Bartlett city, Tennessee,56030
New Brunswick city, New Jersey,55846
West Sacramento city, California,55842
DeSoto city, Texas,55740
Oak Lawn village, Illinois,55734
Olympia city, Washington,55733
Tigard city, Oregon,55590
Port Arthur city, Texas,55547
Fountain Valley city, California,55468
San Jacinto city, California,55440
Apple Valley city, Minnesota,55336
Logan city, Utah,55250
Perth Amboy city, New Jersey,55249
National City city, California,55236
Burleson city, Texas,55220
Anderson city, Indiana,55199
Valdosta city, Georgia,55025
